DateTime,Active market wallets,Sales USD
2022-09-09 00:00:00,87,2249522.16
2022-09-10 00:00:00,100,2441485.19
2022-09-11 00:00:00,117,3375613.6
2022-09-12 00:00:00,83,2195015.02
2022-09-13 00:00:00,101,2497421.83
2022-09-14 00:00:00,77,1407136.05
2022-09-15 00:00:00,106,2349936.04
2022-09-16 00:00:00,84,1317555.66
2022-09-17 00:00:00,109,2512915.03
2022-09-18 00:00:00,103,2558766.54
2022-09-19 00:00:00,106,2147321.15
2022-09-20 00:00:00,175,3713839.27
2022-09-21 00:00:00,121,1758349.39
2022-09-22 00:00:00,108,2017352.63
2022-09-23 00:00:00,106,2674997.99
2022-09-24 00:00:00,107,3395505.08
2022-09-25 00:00:00,129,3109821.59
2022-09-26 00:00:00,111,2866933.53
2022-09-27 00:00:00,83,1825431.96
2022-09-28 00:00:00,106,2678989.41
2022-09-29 00:00:00,97,1455046.84
2022-09-30 00:00:00,87,1764666.5
2022-10-01 00:00:00,85,2066300.5
2022-10-02 00:00:00,96,1620954.91
2022-10-03 00:00:00,76,1167068.99
2022-10-04 00:00:00,83,1396775.17
2022-10-05 00:00:00,82,1562518.91
2022-10-06 00:00:00,91,2510777.45
2022-10-07 00:00:00,69,1143256.31
2022-10-08 00:00:00,68,1546995.23
2022-10-09 00:00:00,79,1414763.96
2022-10-10 00:00:00,70,1610134.01
2022-10-11 00:00:00,144,2777200.77
2022-10-12 00:00:00,137,2562177.96
2022-10-13 00:00:00,142,2747307.12
2022-10-14 00:00:00,99,1685190.85
2022-10-15 00:00:00,74,1435938.1
2022-10-16 00:00:00,88,1958365.59
2022-10-17 00:00:00,73,936990.32
2022-10-18 00:00:00,83,1433883.69
2022-10-19 00:00:00,85,1867357.48
2022-10-20 00:00:00,93,1788357.65
2022-10-21 00:00:00,91,2082521.79
2022-10-22 00:00:00,79,1456391.81
2022-10-23 00:00:00,85,1432862.85
2022-10-24 00:00:00,59,966503.58
2022-10-25 00:00:00,120,2513151.38
2022-10-26 00:00:00,134,3088176.01
2022-10-27 00:00:00,86,1721998.47
2022-10-28 00:00:00,88,1584935.22
2022-10-29 00:00:00,68,1959209.41
2022-10-30 00:00:00,80,2090651.91
2022-10-31 00:00:00,120,4642242.07
2022-11-01 00:00:00,104,2594339.17
2022-11-02 00:00:00,99,3155632.67
2022-11-03 00:00:00,89,1207081.42
2022-11-04 00:00:00,102,3165111.87
2022-11-05 00:00:00,87,1597861.41
2022-11-06 00:00:00,97,1867519.6
2022-11-07 00:00:00,70,2897961.49
2022-11-08 00:00:00,112,3155531.35
2022-11-09 00:00:00,203,4157708.2
2022-11-10 00:00:00,198,6403707.86
2022-11-11 00:00:00,190,5857740.95
2022-11-12 00:00:00,127,3791371.41
2022-11-13 00:00:00,123,2187151.39
2022-11-14 00:00:00,216,5020142.71
2022-11-15 00:00:00,328,9405556.31
2022-11-16 00:00:00,269,4236967.36
2022-11-17 00:00:00,103,2390999.54
2022-11-18 00:00:00,122,1718667.35
2022-11-19 00:00:00,81,1214717.03
2022-11-20 00:00:00,85,994939.55
2022-11-21 00:00:00,129,2525836.73
2022-11-22 00:00:00,144,2750687.96
2022-11-23 00:00:00,130,4399674.44
2022-11-24 00:00:00,286,5938519.29
2022-11-25 00:00:00,240,3778961.73
2022-11-26 00:00:00,425,9746023.25
2022-11-27 00:00:00,321,6492601.21
2022-11-28 00:00:00,163,3872567
2022-11-29 00:00:00,143,1873803.61
2022-11-30 00:00:00,145,2731187.51
2022-12-01 00:00:00,95,1420088.4
2022-12-02 00:00:00,93,1768234.32
2022-12-03 00:00:00,107,1547392.07
2022-12-04 00:00:00,160,2615995.15
2022-12-05 00:00:00,170,3330432.11
2022-12-06 00:00:00,234,4749571.14
2022-12-07 00:00:00,135,2517452.07
2022-12-08 00:00:00,145,3588545.58
2022-12-09 00:00:00,168,3669295.87
2022-12-10 00:00:00,294,8207565.67
2022-12-11 00:00:00,287,7533235.34
2022-12-12 00:00:00,275,5837139.04
2022-12-13 00:00:00,225,6905813.61
2022-12-14 00:00:00,150,3409662.16
2022-12-15 00:00:00,156,3502207.81
2022-12-16 00:00:00,195,3478895.31
2022-12-17 00:00:00,145,4585100.97
2022-12-18 00:00:00,119,2765095.93
2022-12-19 00:00:00,138,2033760.58
2022-12-20 00:00:00,559,7892735.52
2022-12-21 00:00:00,492,11223845.01
2022-12-22 00:00:00,314,9461104.78
2022-12-23 00:00:00,328,9113078.66
2022-12-24 00:00:00,180,3141162.08
2022-12-25 00:00:00,152,3818643.42
2022-12-26 00:00:00,198,3726655.39
2022-12-27 00:00:00,249,9515713.76
2022-12-28 00:00:00,409,8721645.07
2022-12-29 00:00:00,260,5981713.67
2022-12-30 00:00:00,164,3441524.19
2022-12-31 00:00:00,215,4460484.03
2023-01-01 00:00:00,209,4271184.4
2023-01-02 00:00:00,255,7367038.89
2023-01-03 00:00:00,241,8156665.32
2023-01-04 00:00:00,347,8629463.73
2023-01-05 00:00:00,306,6917520
2023-01-06 00:00:00,534,19177604.52
2023-01-07 00:00:00,208,4353442.41
2023-01-08 00:00:00,180,4693571.17
2023-01-09 00:00:00,211,9110042.33
2023-01-10 00:00:00,186,5654555.93
2023-01-11 00:00:00,309,6703250.48
2023-01-12 00:00:00,363,13797589.13
2023-01-13 00:00:00,224,6210678.82
2023-01-14 00:00:00,202,6126961.85
2023-01-15 00:00:00,190,5603544.89
2023-01-16 00:00:00,318,8747824.15
2023-01-17 00:00:00,305,6132088.41
2023-01-18 00:00:00,504,16087847.33
2023-01-19 00:00:00,566,14476946.31
2023-01-20 00:00:00,309,8333744.31
2023-01-21 00:00:00,173,5855875.95
2023-01-22 00:00:00,152,5647455.86
2023-01-23 00:00:00,163,3311550.25
2023-01-24 00:00:00,337,6002568.01
2023-01-25 00:00:00,217,6903490.67
2023-01-26 00:00:00,161,6240737.62
2023-01-27 00:00:00,161,4005908.34
2023-01-28 00:00:00,139,4072090.25
2023-01-29 00:00:00,141,5200779.68
2023-01-30 00:00:00,142,3719519.14
2023-01-31 00:00:00,115,2798752.52
2023-02-01 00:00:00,108,3089838.02
2023-02-02 00:00:00,136,2635090.14
2023-02-03 00:00:00,148,6218753.55
2023-02-04 00:00:00,125,3122084.71
2023-02-05 00:00:00,149,4894568.61
2023-02-06 00:00:00,160,5572555.4
2023-02-07 00:00:00,192,7835576.59
2023-02-08 00:00:00,170,6209437.82
2023-02-09 00:00:00,119,4125126.78
2023-02-10 00:00:00,110,2778642.03
2023-02-11 00:00:00,109,3028869.77
2023-02-12 00:00:00,79,3135753.13
2023-02-13 00:00:00,112,3825621.83
2023-02-14 00:00:00,127,3213411.44
2023-02-15 00:00:00,286,9777257.29
2023-02-16 00:00:00,151,4848667.82
2023-02-17 00:00:00,146,4406128.48
2023-02-18 00:00:00,197,8758264.15
2023-02-19 00:00:00,289,11607242.03
2023-02-20 00:00:00,211,12810776.61
2023-02-21 00:00:00,205,11432486.95
2023-02-22 00:00:00,218,8419808.23
2023-02-23 00:00:00,181,6844152.45
2023-02-24 00:00:00,333,16387917.3
2023-02-25 00:00:00,298,15447246.2
2023-02-26 00:00:00,229,11841176.39
2023-02-27 00:00:00,211,8921919.31
2023-02-28 00:00:00,230,10998031.16
2023-03-01 00:00:00,177,7381160.88
2023-03-02 00:00:00,182,8392924.49
2023-03-03 00:00:00,198,7714961.41
2023-03-04 00:00:00,157,6842673.47
2023-03-05 00:00:00,132,4181397.24
2023-03-06 00:00:00,140,6385421.14
2023-03-07 00:00:00,149,7620879.85
2023-03-08 00:00:00,117,3196566.82
2023-03-09 00:00:00,128,4065770.83
2023-03-10 00:00:00,150,4463449.08
2023-03-11 00:00:00,159,4720959.44
2023-03-12 00:00:00,168,3680680.12
2023-03-13 00:00:00,181,5709904.86
2023-03-14 00:00:00,149,5767737.1
2023-03-15 00:00:00,208,4978643.85
2023-03-16 00:00:00,152,3786465.75
2023-03-17 00:00:00,123,3680872.24
2023-03-18 00:00:00,138,5586372.61
2023-03-19 00:00:00,126,3473261.01
2023-03-20 00:00:00,122,3939258.24
2023-03-21 00:00:00,140,3175902.11
2023-03-22 00:00:00,120,3305379.43
2023-03-23 00:00:00,144,4703423.29
2023-03-24 00:00:00,120,2567940.97
2023-03-25 00:00:00,182,7007665.58
2023-03-26 00:00:00,131,4321899.93
2023-03-27 00:00:00,107,3784668.71
2023-03-28 00:00:00,195,3661084.14
2023-03-29 00:00:00,143,3257687.73
2023-03-30 00:00:00,138,3242882.17
2023-03-31 00:00:00,149,5616175.57
2023-04-01 00:00:00,133,4099112.38
2023-04-02 00:00:00,124,3491214.56
2023-04-03 00:00:00,123,3658587.06
2023-04-04 00:00:00,93,2630089.8
2023-04-05 00:00:00,99,2834300.93
2023-04-06 00:00:00,94,1861301.51
2023-04-07 00:00:00,97,2581824.92
2023-04-08 00:00:00,123,3377904.71
2023-04-09 00:00:00,86,2501869.84
2023-04-10 00:00:00,119,3065325.82
2023-04-11 00:00:00,106,2484514.57
2023-04-12 00:00:00,113,3943956.59
2023-04-13 00:00:00,190,8398714.77
2023-04-14 00:00:00,175,6556369.19
2023-04-15 00:00:00,166,7072788.91
2023-04-16 00:00:00,175,6553273.17
2023-04-17 00:00:00,181,6712060.51
2023-04-18 00:00:00,128,5239341.92
2023-04-19 00:00:00,131,5467662.92
2023-04-20 00:00:00,152,5952363.57
2023-04-21 00:00:00,347,12652723.58
2023-04-22 00:00:00,312,12060612.76
2023-04-23 00:00:00,224,7070117.02
2023-04-24 00:00:00,120,3102726.66
2023-04-25 00:00:00,117,4000400.85
2023-04-26 00:00:00,125,3774721.37
2023-04-27 00:00:00,81,1690898.49
2023-04-28 00:00:00,95,2329530.53
2023-04-29 00:00:00,89,1477198.13
2023-04-30 00:00:00,101,1917316.28
2023-05-01 00:00:00,217,5707255.29
2023-05-02 00:00:00,229,6536028.61
2023-05-03 00:00:00,119,2524761.84
2023-05-04 00:00:00,107,2801557.04
2023-05-05 00:00:00,149,3186084.18
2023-05-06 00:00:00,86,2281203.99
2023-05-07 00:00:00,121,2652765.64
2023-05-08 00:00:00,118,3204145.51
2023-05-09 00:00:00,126,2583006.72
2023-05-10 00:00:00,240,6799855.3
2023-05-11 00:00:00,267,6779516.39
2023-05-12 00:00:00,164,2989572.68
2023-05-13 00:00:00,182,4219017.42
2023-05-14 00:00:00,150,3615513.26
2023-05-15 00:00:00,204,5373789.98
2023-05-16 00:00:00,128,3486351.59
2023-05-17 00:00:00,73,1457649.46
2023-05-18 00:00:00,106,1630459.97
2023-05-19 00:00:00,101,1843864.88
2023-05-20 00:00:00,100,2359985.3
