"DateTime","Unique buyers","Sales USD"
"2022-08-01 00:00:00",47,2420488.8
"2022-08-02 00:00:00",45,2213452.33
"2022-08-03 00:00:00",56,2370123.15
"2022-08-04 00:00:00",68,3396503.58
"2022-08-05 00:00:00",66,4162470.48
"2022-08-06 00:00:00",49,2241425.14
"2022-08-07 00:00:00",89,3556817.03
"2022-08-08 00:00:00",49,2079872.52
"2022-08-09 00:00:00",55,3047021.06
"2022-08-10 00:00:00",72,4402065.76
"2022-08-11 00:00:00",56,3564998.45
"2022-08-12 00:00:00",48,3315004.8
"2022-08-13 00:00:00",59,2796815.22
"2022-08-14 00:00:00",63,2795428.19
"2022-08-15 00:00:00",71,3229857.34
"2022-08-16 00:00:00",72,4216349.46
"2022-08-17 00:00:00",67,5233984.88
"2022-08-18 00:00:00",53,3273243.57
"2022-08-19 00:00:00",83,3397805.89
"2022-08-20 00:00:00",86,4096238.97
"2022-08-21 00:00:00",125,5543938.73
"2022-08-22 00:00:00",98,3925929.09
"2022-08-23 00:00:00",73,2972186.28
"2022-08-24 00:00:00",73,5499739.58
"2022-08-25 00:00:00",106,7273058.59
"2022-08-26 00:00:00",82,4862080.84
"2022-08-27 00:00:00",64,3841304.59
"2022-08-28 00:00:00",55,2148595.4
"2022-08-29 00:00:00",41,1993466.07
"2022-08-30 00:00:00",55,2885513.75
"2022-08-31 00:00:00",53,2961195
"2022-09-01 00:00:00",39,1010657.74
"2022-09-02 00:00:00",46,2050487.34
"2022-09-03 00:00:00",37,1177976.58
"2022-09-04 00:00:00",19,512706.96
"2022-09-05 00:00:00",38,2285609.77
"2022-09-06 00:00:00",41,1863455.59
"2022-09-07 00:00:00",43,2337120.35
"2022-09-08 00:00:00",48,2880852.44
"2022-09-09 00:00:00",46,2249522.16
"2022-09-10 00:00:00",66,2441485.19
"2022-09-11 00:00:00",65,3375613.6
"2022-09-12 00:00:00",49,2195015.02
"2022-09-13 00:00:00",55,2497421.83
"2022-09-14 00:00:00",42,1407136.05
"2022-09-15 00:00:00",61,2349936.04
"2022-09-16 00:00:00",44,1317555.66
"2022-09-17 00:00:00",55,2512915.03
"2022-09-18 00:00:00",55,2558766.54
"2022-09-19 00:00:00",58,2147321.15
"2022-09-20 00:00:00",93,3713839.27
"2022-09-21 00:00:00",66,1758349.39
"2022-09-22 00:00:00",57,2017352.63
"2022-09-23 00:00:00",54,2674997.99
"2022-09-24 00:00:00",57,3395505.08
"2022-09-25 00:00:00",68,3109821.59
"2022-09-26 00:00:00",64,2866933.53
"2022-09-27 00:00:00",46,1825431.96
"2022-09-28 00:00:00",60,2678989.41
"2022-09-29 00:00:00",55,1455046.84
"2022-09-30 00:00:00",50,1764666.5
"2022-10-01 00:00:00",52,2066300.5
"2022-10-02 00:00:00",50,1620954.91
"2022-10-03 00:00:00",40,1167068.99
"2022-10-04 00:00:00",49,1396775.17
"2022-10-05 00:00:00",46,1562518.91
"2022-10-06 00:00:00",53,2510777.45
"2022-10-07 00:00:00",38,1143256.31
"2022-10-08 00:00:00",41,1546995.23
"2022-10-09 00:00:00",40,1414763.96
"2022-10-10 00:00:00",40,1610134.01
"2022-10-11 00:00:00",77,2777200.77
"2022-10-12 00:00:00",76,2562177.96
"2022-10-13 00:00:00",80,2747307.12
"2022-10-14 00:00:00",57,1685190.85
"2022-10-15 00:00:00",41,1435938.1
"2022-10-16 00:00:00",53,1958365.59
"2022-10-17 00:00:00",40,936990.32
"2022-10-18 00:00:00",41,1433883.69
"2022-10-19 00:00:00",51,1867357.48
"2022-10-20 00:00:00",57,1788357.65
"2022-10-21 00:00:00",54,2082521.79
"2022-10-22 00:00:00",47,1456391.81
"2022-10-23 00:00:00",47,1432862.85
"2022-10-24 00:00:00",35,966503.58
"2022-10-25 00:00:00",67,2513151.38
"2022-10-26 00:00:00",78,3088176.01
"2022-10-27 00:00:00",49,1721998.47
"2022-10-28 00:00:00",47,1584935.22
"2022-10-29 00:00:00",37,1959209.41
"2022-10-30 00:00:00",49,2090651.91
"2022-10-31 00:00:00",73,4642242.07
"2022-11-01 00:00:00",62,2594339.17
"2022-11-02 00:00:00",55,3155632.67
"2022-11-03 00:00:00",48,1207081.42
"2022-11-04 00:00:00",53,3165111.87
"2022-11-05 00:00:00",46,1597861.41
"2022-11-06 00:00:00",57,1867519.6
"2022-11-07 00:00:00",37,2897961.49
"2022-11-08 00:00:00",63,3155531.35
"2022-11-09 00:00:00",106,4157708.2
"2022-11-10 00:00:00",120,6403707.86
"2022-11-11 00:00:00",104,5857740.95
"2022-11-12 00:00:00",78,3791371.41
"2022-11-13 00:00:00",70,2187151.39
"2022-11-14 00:00:00",124,5020142.71
"2022-11-15 00:00:00",198,9405556.31
"2022-11-16 00:00:00",154,4236967.36
"2022-11-17 00:00:00",59,2390999.54
"2022-11-18 00:00:00",70,1718667.35
"2022-11-19 00:00:00",51,1214717.03
"2022-11-20 00:00:00",45,994939.55
"2022-11-21 00:00:00",72,2525836.73
"2022-11-22 00:00:00",73,2750687.96
"2022-11-23 00:00:00",69,4399674.44
"2022-11-24 00:00:00",172,5938519.29
"2022-11-25 00:00:00",147,3778961.73
"2022-11-26 00:00:00",231,9746023.25
"2022-11-27 00:00:00",174,6492601.21
"2022-11-28 00:00:00",92,3872567
"2022-11-29 00:00:00",79,1873803.61
"2022-11-30 00:00:00",85,2731187.51
"2022-12-01 00:00:00",50,1420088.4
"2022-12-02 00:00:00",54,1768234.32
"2022-12-03 00:00:00",60,1547392.07
"2022-12-04 00:00:00",93,2615995.15
"2022-12-05 00:00:00",94,3330432.11
"2022-12-06 00:00:00",128,4749571.14
"2022-12-07 00:00:00",82,2517452.07
"2022-12-08 00:00:00",79,3588545.58
"2022-12-09 00:00:00",97,3669295.87
"2022-12-10 00:00:00",158,8207565.67
"2022-12-11 00:00:00",182,7533235.34
"2022-12-12 00:00:00",162,5837139.04
"2022-12-13 00:00:00",137,6905813.61
"2022-12-14 00:00:00",81,3409662.16
"2022-12-15 00:00:00",87,3502207.81
"2022-12-16 00:00:00",100,3478895.31
"2022-12-17 00:00:00",91,4585100.97
"2022-12-18 00:00:00",63,2765095.93
"2022-12-19 00:00:00",74,2033760.58
"2022-12-20 00:00:00",315,7892735.52
"2022-12-21 00:00:00",287,11223845.01
"2022-12-22 00:00:00",173,9461104.78
"2022-12-23 00:00:00",182,9113078.66
"2022-12-24 00:00:00",100,3141162.08
"2022-12-25 00:00:00",84,3818643.42
"2022-12-26 00:00:00",107,3726655.39
"2022-12-27 00:00:00",126,9515713.76
"2022-12-28 00:00:00",228,8721645.07
"2022-12-29 00:00:00",153,5981713.67
"2022-12-30 00:00:00",95,3441524.19
"2022-12-31 00:00:00",122,4460484.03
"2023-01-01 00:00:00",123,4271184.4
"2023-01-02 00:00:00",150,7367038.89
"2023-01-03 00:00:00",141,8156665.32
"2023-01-04 00:00:00",188,8629463.73
"2023-01-05 00:00:00",148,6917520
"2023-01-06 00:00:00",270,19177604.52
"2023-01-07 00:00:00",111,4353442.41
"2023-01-08 00:00:00",103,4693571.17
"2023-01-09 00:00:00",112,9110042.33
"2023-01-10 00:00:00",91,5654555.93
"2023-01-11 00:00:00",174,6703250.48
"2023-01-12 00:00:00",214,13797589.13
"2023-01-13 00:00:00",122,6210678.82
"2023-01-14 00:00:00",114,6126961.85
"2023-01-15 00:00:00",111,5603544.89
"2023-01-16 00:00:00",175,8747824.15
"2023-01-17 00:00:00",178,6132088.41
"2023-01-18 00:00:00",324,16087847.33
"2023-01-19 00:00:00",349,14476946.31
"2023-01-20 00:00:00",188,8333744.31
"2023-01-21 00:00:00",91,5855875.95
"2023-01-22 00:00:00",80,5647455.86
"2023-01-23 00:00:00",90,3311550.25
"2023-01-24 00:00:00",192,6002568.01
"2023-01-25 00:00:00",119,6903490.67
"2023-01-26 00:00:00",98,6240737.62
"2023-01-27 00:00:00",91,4005908.34
"2023-01-28 00:00:00",78,4072090.25
"2023-01-29 00:00:00",79,5200779.68
"2023-01-30 00:00:00",82,3719519.14
"2023-01-31 00:00:00",67,2798752.52
"2023-02-01 00:00:00",54,3089838.02
"2023-02-02 00:00:00",68,2635090.14
"2023-02-03 00:00:00",72,6218753.55
"2023-02-04 00:00:00",64,3122084.71
"2023-02-05 00:00:00",82,4894568.61
"2023-02-06 00:00:00",78,5572555.4
"2023-02-07 00:00:00",110,7835576.59
"2023-02-08 00:00:00",88,6209437.82
"2023-02-09 00:00:00",58,4125126.78
"2023-02-10 00:00:00",55,2778642.03
"2023-02-11 00:00:00",56,3028869.77
"2023-02-12 00:00:00",39,3135753.13
"2023-02-13 00:00:00",47,3825621.83
"2023-02-14 00:00:00",69,3213411.44
"2023-02-15 00:00:00",146,9777257.29
"2023-02-16 00:00:00",80,4848667.82
"2023-02-17 00:00:00",72,4406128.48
"2023-02-18 00:00:00",98,8758264.15
"2023-02-19 00:00:00",128,11607242.03
"2023-02-20 00:00:00",111,12810776.61
"2023-02-21 00:00:00",113,11432486.95
"2023-02-22 00:00:00",131,8419808.23
"2023-02-23 00:00:00",106,6844152.45
"2023-02-24 00:00:00",212,16387917.3
"2023-02-25 00:00:00",188,15447246.2
"2023-02-26 00:00:00",136,11841176.39
"2023-02-27 00:00:00",122,8921919.31
"2023-02-28 00:00:00",118,10998031.16
"2023-03-01 00:00:00",98,7381160.88
"2023-03-02 00:00:00",92,8392924.49
"2023-03-03 00:00:00",116,7714961.41
"2023-03-04 00:00:00",93,6842673.47
"2023-03-05 00:00:00",77,4181397.24
"2023-03-06 00:00:00",71,6385421.14
"2023-03-07 00:00:00",88,7620879.85
"2023-03-08 00:00:00",68,3196566.82
"2023-03-09 00:00:00",75,4065770.83
"2023-03-10 00:00:00",84,4463449.08
"2023-03-11 00:00:00",89,4720959.44
"2023-03-12 00:00:00",101,3680680.12
"2023-03-13 00:00:00",101,5709904.86
"2023-03-14 00:00:00",86,5767737.1
"2023-03-15 00:00:00",131,4978643.85
"2023-03-16 00:00:00",86,3786465.75
"2023-03-17 00:00:00",69,3680872.24
"2023-03-18 00:00:00",78,5586372.61
"2023-03-19 00:00:00",63,3473261.01
"2023-03-20 00:00:00",71,3939258.24
"2023-03-21 00:00:00",73,3175902.11
"2023-03-22 00:00:00",66,3305379.43
"2023-03-23 00:00:00",80,4703423.29
"2023-03-24 00:00:00",76,2567940.97
"2023-03-25 00:00:00",98,7007665.58
"2023-03-26 00:00:00",64,4321899.93
"2023-03-27 00:00:00",58,3784668.71
"2023-03-28 00:00:00",113,3661084.14
"2023-03-29 00:00:00",80,3257687.73
"2023-03-30 00:00:00",77,3242882.17
"2023-03-31 00:00:00",86,5616175.57
"2023-04-01 00:00:00",74,4099112.38
"2023-04-02 00:00:00",67,3491214.56
"2023-04-03 00:00:00",65,3658587.06
"2023-04-04 00:00:00",50,2630089.8
"2023-04-05 00:00:00",57,2834300.93
"2023-04-06 00:00:00",50,1861301.51
"2023-04-07 00:00:00",50,2581824.92
"2023-04-08 00:00:00",69,3377904.71
"2023-04-09 00:00:00",47,2501869.84
"2023-04-10 00:00:00",60,3065325.82
"2023-04-11 00:00:00",53,2484514.57
"2023-04-12 00:00:00",58,3943956.59
"2023-04-13 00:00:00",105,8398714.77
"2023-04-14 00:00:00",99,6556369.19
"2023-04-15 00:00:00",97,7072788.91
"2023-04-16 00:00:00",90,6553273.17
"2023-04-17 00:00:00",102,6712060.51
"2023-04-18 00:00:00",75,5239341.92
"2023-04-19 00:00:00",70,5467662.92
"2023-04-20 00:00:00",83,5952363.57
"2023-04-21 00:00:00",206,12652723.58
"2023-04-22 00:00:00",193,12060612.76
"2023-04-23 00:00:00",113,7070117.02
"2023-04-24 00:00:00",69,3102726.66
"2023-04-25 00:00:00",67,4000400.85
"2023-04-26 00:00:00",77,3774721.37
"2023-04-27 00:00:00",45,1690898.49
"2023-04-28 00:00:00",49,2329530.53
"2023-04-29 00:00:00",45,1477198.13
"2023-04-30 00:00:00",58,1917316.28
"2023-05-01 00:00:00",115,5707255.29
"2023-05-02 00:00:00",130,6536028.61
"2023-05-03 00:00:00",61,2524761.84
"2023-05-04 00:00:00",62,2801557.04
"2023-05-05 00:00:00",84,3186084.18
"2023-05-06 00:00:00",46,2281203.99
"2023-05-07 00:00:00",57,2652765.64
"2023-05-08 00:00:00",56,3204145.51
"2023-05-09 00:00:00",67,2583006.72
"2023-05-10 00:00:00",115,6799855.3
"2023-05-11 00:00:00",131,6779516.39
"2023-05-12 00:00:00",91,2989572.68
"2023-05-13 00:00:00",95,4219017.42
"2023-05-14 00:00:00",82,3615513.26
"2023-05-15 00:00:00",134,5373789.98
"2023-05-16 00:00:00",72,3486351.59
"2023-05-17 00:00:00",44,1457649.46
"2023-05-18 00:00:00",53,1630459.97
"2023-05-19 00:00:00",65,1843864.88
"2023-05-20 00:00:00",51,2378162.93
